id,age,gender,region,words,nouns,verbs,ageat1w
76,20,female,rural,274,198,2,15
77,18,male,urban,34,12,2,16
78,18,male,rural,21,2,0,16
79,18,female,rural,34,13,2,16
80,18,female,rural,29,7,0,16
81,16,female,rural,19,8,1,14
82,16,female,urban,263,170,32,11
83,16,male,rural,12,3,0,15
84,16,male,urban,484,201,87,9
85,16,male,rural,0,0,0,
